GeneSymbol	2 MES	2 Frozen	27	27	A18	C1	C13	C13	C5	D10	D10	D3	D3	D4	D4	D5 MES	D5 Frozen	D8 MES	D8 Frozen	D8 PKD	D8	J03	J11	17	17	A10	A10	A11	A13	A13	A4	A4	C11 MES	C11	C11a Frozen	C9	G4	G8	J10	J15
MAPT	9.463588235	9.744592401	9.444081215	9.531674634	10.22862656	9.506836057	8.7816116	8.856638622	9.117496219	10.15404693	9.949925926	9.50867116	9.33905943	8.724562311	8.935219123	8.383392756	9.434469212	9.467295116	8.429914028	9.334078534	9.565410974	9.66009583	9.881865092	5.868806212	5.763274724	8.033294856	8.032064098	6.898372468	7.680166029	7.569028832	7.671397789	7.515745191	5.473479468	5.2007946	5.06991174	5.090906504	7.465142295	3.391590586	8.77343937	6.886924879
PDGFD	10.87966928	11.14858589	10.3617222	10.41474448	9.560249059	10.39742489	9.739345282	9.799755377	10.33807845	9.328017521	9.333254353	10.38756906	10.37945159	10.15808762	10.00862901	9.330414517	10.16370444	10.53757367	10.1011118	10.21544335	10.34472448	10.3337229	10.11716709	10.06408557	9.895601219	8.969067457	8.743724331	8.365798441	8.434157669	8.397284356	8.24392983	8.20444931	6.930224825	6.835530712	6.814549874	9.272293953	9.065577059	10.27896072	8.941231249	9.648812373
PHYH	6.785933837	7.479223359	6.298199699	6.415453347	7.817800943	7.233002665	6.004349692	6.210115177	6.382557917	7.313930554	6.892721857	6.347724914	6.648633614	6.073222702	5.72252041	6.069109437	6.479672652	6.809594906	5.763334909	6.613483252	6.933785335	7.354270604	7.844022174	6.032195283	6.201063589	6.524275767	6.508131014	5.481436335	5.834024905	5.911393016	6.025568319	5.990748101	5.210429738	5.036525412	4.37902707	5.483910537	5.444410866	5.550061707	7.363707772	6.508546778
PRKAA2	8.562427795	9.482774648	8.997330191	9.23044968	8.903763729	9.095393491	8.560063628	8.70646451	8.423855219	9.205398463	9.43504548	9.348838282	9.306141452	8.858150286	8.838870037	8.367124208	9.499017174	8.516317387	8.049008503	8.409198901	8.90657303	9.563496312	10.01374405	8.985595419	8.952277826	8.133696951	8.698068609	7.683121105	7.48251837	7.873301129	8.459524558	8.600077291	7.826687918	8.003941283	7.410039706	7.959126356	7.650389959	8.086217135	9.134188815	9.204051226
SLC4A4	10.08497222	11.29442854	9.441189602	9.756775671	11.65888925	10.69267706	9.805768513	9.931128447	9.497016174	10.68322019	10.94611063	9.259917232	9.036573998	9.338441204	9.294765118	9.349172089	10.42450304	10.01297929	9.427030609	9.842008093	10.1577067	10.84917116	11.31906946	9.827088472	9.68530094	8.956937515	9.080070983	10.17241126	8.782361504	8.951969604	9.30154129	9.340632269	9.141844141	9.242001137	8.298203255	8.980052105	9.160185142	8.510859753	10.85137547	9.731452613
ST13	10.63002931	11.08298022	11.33125891	11.37729211	11.03959514	10.8253277	11.18699787	11.18024522	10.62706357	10.56429604	10.75803454	10.92170099	10.91014409	10.81316418	10.74300835	10.45328491	11.01876317	10.8987482	10.52416482	10.80256111	10.93807913	10.85206095	11.35217648	11.66969845	11.49464443	11.33676745	11.36297419	9.986839458	10.71811024	10.71714011	10.84755384	10.9321385	9.916841494	10.00463085	9.55825743	10.54827877	9.9091406	10.45352423	11.37990792	8.988336941
STK32B	7.278973848	7.780582154	6.397012238	6.802478688	8.385229278	7.864266227	7.747152402	7.445278162	6.950358471	8.334351359	8.323332065	7.687663049	7.740389312	7.614156704	7.81042187	7.20598576	7.938311784	8.394224479	7.500855859	8.236768069	8.458520141	7.547301027	8.455652444	5.843877705	5.695720888	5.145750723	5.918846012	4.631005525	5.116751045	5.319088779	7.174750958	7.096986353	6.150640515	6.221643061	5.447296309	2.601239865	6.28246673	5.058497259	6.766998714	7.658788468
TCEA3	10.34506304	11.01550496	10.2170786	10.23017842	10.46754661	10.95868376	10.044542	10.00000239	10.26284385	10.76757746	10.74907854	10.88530115	10.72233865	10.15116172	9.740550745	9.37380874	10.15443052	11.11134205	11.08311541	10.8666958	11.10556317	11.3397635	11.15862355	9.403212758	9.211556206	7.621622112	8.016206024	9.091280258	8.701417375	8.771055027	9.496738926	9.445677348	10.11801021	10.10882195	10.23033907	8.174265327	9.300653185	9.52183361	11.07142566	9.892073341
TLR3	9.498651885	10.59907461	9.291893271	9.26908127	9.943317176	9.615019527	9.857717492	9.885258465	9.682338035	9.517109615	9.323634342	9.728750531	9.776284506	9.69815008	9.604839874	9.479745957	10.53582665	9.731528933	9.927770268	9.449840449	9.573175746	10.3664287	10.40939005	9.814312339	9.704761459	8.697400615	8.609244411	9.117358229	9.614524868	9.595364467	9.051657191	9.078624833	9.624991207	9.456823164	9.764640482	8.987654278	7.233339626	7.914839283	9.607735891	9.40722131
FLJ23867	4.93793693	3.436630511	6.136001696	5.949786184	6.537467055	5.137975927	4.74970653	5.163671649	5.81637312	5.764957512	5.555253714	6.041177384	5.982873954	6.073222702	5.914841527	5.179878389	3.924134907	5.28673938	0	5.656159982	5.248994906	5.937717194	5.15644746	7.271826719	7.030313407	7.767658059	7.989382281	6.728305156	7.274405772	7.147639722	7.226283885	7.360995622	6.310615465	6.245358724	5.2363855	7.571029454	4.546551943	6.087274824	6.329278611	3.453889685
GALNT10	7.645756179	7.600285233	7.279877312	7.342866412	8.162896674	7.864266227	7.716786523	7.731125286	7.634650377	7.58994435	7.661220878	7.937473343	7.931825237	8.160947407	8.138023938	7.803927728	7.279760906	7.233208692	6.325017678	7.19000186	7.409060265	7.598675711	8.144704353	7.64809065	7.495143637	8.155090452	8.18173694	8.172058165	7.330567765	7.506086741	8.040163704	8.174732929	7.656761042	7.817177539	7.577991861	8.856788414	7.174110192	7.847583524	8.06497418	7.684546951
KCNN4	3.838401257	3.966555481	3.554485997	1.944295868	5.282920455	3.81630335	4.041067859	3.89141763	4.710033581	1.499715003	3.786406824	3.03011522	4.510093329	4.176627229	3.921629476	5.06354347	4.124479789	3.572302611	1.383125064	4.306737249	3.866462913	4.365257998	0.37098092	5.263619032	4.881092497	5.057618439	5.372362362	4.631005525	5.045321587	5.142727331	5.729545691	6.029211799	5.727733135	6.086372054	5.164757323	3.126972921	2.853915576	5.325115116	4.757211446	4.188931095
FOXM1	6.334827083	5.455085568	6.047508703	5.69623033	7.082339192	6.536419559	6.06988371	6.334803227	6.650433998	6.302429346	5.97951188	5.69548444	5.267540666	6.29050129	5.547768038	5.986320461	3.488361396	6.06066478	2.342170898	6.389280468	6.225498504	6.882761874	7.288213891	5.766398599	5.827806355	7.711004943	7.939805746	7.220528232	8.672077583	8.976168098	7.048736243	7.267561336	7.653448269	7.640644826	7.492806802	6.900320276	6.860138475	4.904100244	6.806614951	5.771966843
MOXD1	7.530892222	7.159750828	7.100899563	6.947147959	5.866855154	4.164135402	6.643736236	6.7346441	5.239561211	6.510960833	6.621531316	7.772402556	8.021912273	8.280016964	7.580043625	6.93510725	7.321153523	5.520197148	5.007025259	6.117354902	5.299796644	6.318126899	4.919986752	7.214635516	6.945607527	9.615368146	9.511899646	7.599249978	7.578412401	7.605516791	7.45949384	7.215695702	8.171670134	8.112377898	7.875882367	9.752331888	9.72192703	9.100927593	10.27175299	6.747245379
SERPINA3	0	0	2.255693992	0	0	3.486264242	4.041067859	3.187694166	1.900593014	0.252595808	2.054036215	0	0	0	0	4.410862495	4.300365245	4.694557275	0	4.762538527	4.455846251	2.195963345	3.74680019	9.656840422	9.579175956	1.975651238	3.879349417	5.481436335	7.607634247	7.775277475	5.115620249	4.938225949	5.695882835	5.88972348	5.806231495	11.53889924	7.465142295	7.630839614	8.375359459	5.509125228
SLC4A3	4.031046335	4.172829387	3.993971014	0	5.9510547	4.379101963	4.487255291	3.795480472	3.702558308	3.751168723	3.542844536	3.496566819	4.989913303	4.176627229	4.298055899	3.456099845	3.691411734	4.414344397	4.700461768	4.778731424	4.640613356	4.131549581	4.284675974	7.535834674	7.269801384	6.923818959	7.085874176	6.119951495	7.155064123	7.166757995	6.547155796	6.840011703	4.877162438	5.220072992	4.211404102	5.893034682	4.974500736	6.645607927	5.714609306	4.953276092
ARNT	9.377560068	9.539776298	9.441189602	9.519264268	9.119954164	9.115512597	9.032339231	9.196553229	9.446711476	9.123107556	9.042082054	9.80867159	9.744504778	9.731035097	9.368927756	9.379902722	9.338201094	9.374714948	8.581340899	9.193187568	9.365295099	9.550508893	9.503431434	9.618771173	9.482268897	9.028232962	8.935795889	8.863720272	9.271390186	9.247084516	9.022801917	9.10887015	9.720688399	9.710033128	9.416080188	9.303085825	8.667789057	9.43462089	9.627779905	8.690787876
CDH5	9.731486053	10.42025382	10.35251763	10.4929863	8.88741859	10.56772974	10.15813141	10.20294391	10.3696406	9.158656284	9.321219283	10.57026528	10.4748205	11.08072195	10.64465502	9.812706959	9.839792904	10.15241672	9.913107091	9.927554706	10.27755999	9.780264062	9.742393807	9.799802638	9.834095974	8.389755182	8.743724331	9.014725137	8.436486081	8.529761147	8.907565828	8.928154343	7.254893513	7.389249766	7.625455186	9.674397421	9.95384809	10.40576643	9.383771867	9.05403557
EPAS1	11.59376576	11.66780635	10.93674937	11.11457687	10.64136644	11.2062444	11.49202184	11.67866451	11.33253741	11.02320535	10.95626294	12.32769537	12.29878253	11.97917206	11.98245809	11.29636132	11.45042682	11.39369587	10.78998704	11.14466073	11.47760061	11.24290751	11.09425962	11.17357039	11.1401653	9.349146544	9.50623408	9.837961524	10.08871376	10.2716578	9.488320463	9.486565168	8.063506544	8.026016631	8.207544069	10.82780848	10.09625678	11.95374402	10.94221614	10.73296541
NRP1	8.892133241	8.427239555	8.611426167	8.770677645	8.229250868	9.309196546	8.938965805	8.82964598	9.111454142	8.720336299	8.676890582	9.324487811	9.235275043	9.415606034	9.298220155	8.338205209	8.145493825	9.043230362	8.237356202	8.932355662	9.045527984	8.999787573	8.803426075	9.1240376	8.851118233	8.789199448	8.800378353	7.816445941	8.362498334	8.461729422	8.735070718	8.764899283	5.49584846	5.33062769	5.549262712	8.245749089	10.75332029	9.496725508	9.03594211	9.758990465
ROR2	4.616008835	4.123959454	5.407103283	4.912297778	4.908327391	0	4.387969473	4.066043273	3.939270213	4.380562188	4.951671177	5.971197214	6.129032289	6.18594857	5.500559823	4.277947073	3.753205498	3.22093439	1.940914367	4.37223104	3.724929225	4.079895184	2.587595602	6.774669618	6.565147308	6.898673199	7.044777469	5.856526497	5.81982571	5.885249271	6.060060616	5.937814066	4.58889185	4.336574081	4.314295728	7.280507979	6.458264867	5.294360672	5.697852153	4.566776057
RGS5	14.47347153	14.3384703	13.87555043	14.00052488	12.70722384	12.94627328	14.14351519	14.09530134	13.83769487	13.66113727	13.52683837	14.91359114	14.80700978	14.44140198	14.17643517	13.9526814	13.89679885	14.39096551	14.10456646	14.06658717	14.42930046	14.00383112	12.34248888	14.49265875	14.43123314	11.63964256	11.69391976	10.79290398	11.25356996	11.24190809	12.24895531	12.18444768	8.365329468	8.406526374	8.377572454	12.23491688	12.33987428	14.93338622	12.62886231	13.16303939
VCAM1	13.1473903	13.64470939	12.51970937	12.621136	12.63862695	13.67216196	12.77255315	12.72872321	12.57852532	13.82172227	13.74242378	13.14825862	13.04961177	11.59368522	11.38348518	13.37928722	14.11719718	12.90155698	12.84259704	12.70585801	13.06825128	13.88294092	12.72778553	9.566397281	9.524252287	11.17992921	11.12679574	11.38863876	11.66247844	11.53802143	12.40105206	12.30438285	13.55012091	13.69659925	13.83366817	10.20288237	11.74521769	11.15529769	12.66622156	14.08630607
CCNO	0	0	0	0	2.304336857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94818881	0	0.584653711	0	1.249306324	0	0.875891197	3.007139828	1.688041794	1.988915129	0	3.594204861	3.952454636	0	0	0	0	0	0	0	0.892765408
